va,pa,bank_class,score_vs_rep
0x000071a95c000000,0x00000009ac00e000,0,1.000
0x000071a95c001000,0x0000000c500c0000,1,0.993
0x000071a95c002000,0x000000037b6ab000,2,0.967
0x000071a95c003000,0x0000000b679fc000,3,0.993
0x000071a95c004000,0x00000007f4644000,4,0.988
0x000071a95c005000,0x00000003f8ba4000,5,0.992
0x000071a95c006000,0x0000000c4c408000,6,0.997
0x000071a95c007000,0x0000000c4c44b000,7,0.997
0x000071a95c008000,0x0000000c4c448000,8,1.102
0x000071a95c009000,0x0000000a9e760000,9,0.999
0x000071a95c00a000,0x000000069c636000,10,1.003
0x000071a95c00b000,0x0000000c7c67b000,11,0.986
0x000071a95c00c000,0x0000000c15f4e000,12,0.999
0x000071a95c00d000,0x00000009e80f2000,13,0.974
0x000071a95c00e000,0x00000005f2519000,14,0.995
0x000071a95c00f000,0x0000000c7c772000,15,0.999
0x000071a95c010000,0x0000000c5420f000,7,0.997
0x000071a95c011000,0x0000000c47a80000,13,1.001
0x000071a95c012000,0x0000000a5360d000,1,0.986
0x000071a95c013000,0x0000000ae4fce000,13,0.997
0x000071a95c014000,0x0000000ae4fcf000,1,0.990
0x000071a95c015000,0x0000000905ce7000,14,1.001
0x000071a95c016000,0x0000000a5360e000,9,0.996
0x000071a95c017000,0x0000000c3316c000,0,1.005
0x000071a95c018000,0x0000000bb3f2b000,2,0.993
0x000071a95c019000,0x0000000b7012f000,1,0.987
0x000071a95c01a000,0x0000000905ce6000,3,0.986
0x000071a95c01b000,0x00000003d97f1000,2,1.006
0x000071a95c01c000,0x0000000905ce5000,11,1.002
0x000071a95c01d000,0x0000000a5360f000,2,0.995
0x000071a95c01e000,0x0000000a5360c000,6,1.001
0x000071a95c01f000,0x0000000ae4fcc000,13,1.007
0x000071a95c020000,0x0000000c3316f000,14,0.993
0x000071a95c021000,0x0000000c3316d000,14,1.001
0x000071a95c022000,0x00000003d97f2000,5,0.982
0x000071a95c023000,0x0000000962dfb000,7,0.997
0x000071a95c024000,0x0000000962dfa000,6,0.995
0x000071a95c025000,0x0000000962df9000,11,0.996
0x000071a95c026000,0x0000000962df8000,0,1.002
0x000071a95c027000,0x0000000b66a89000,7,1.000
0x000071a95c028000,0x0000000b66a88000,12,0.996
0x000071a95c029000,0x0000000a88d03000,2,1.003
0x000071a95c02a000,0x0000000a88d02000,15,1.004
0x000071a95c02b000,0x0000000c3316e000,6,1.012
0x000071a95c02c000,0x0000000b7012e000,0,1.010
0x000071a95c02d000,0x00000003d97f0000,5,1.000
0x000071a95c02e000,0x0000000bb3f28000,9,1.004
0x000071a95c02f000,0x0000000ae4fcd000,14,1.002
0x000071a95c030000,0x0000000b7012d000,2,0.992
0x000071a95c031000,0x0000000b7012c000,1,0.991
0x000071a95c032000,0x0000000bb3f29000,1,0.988
0x000071a95c033000,0x0000000905ce4000,10,1.002
0x000071a95c034000,0x0000000bb3f2a000,1,1.006
0x000071a95c035000,0x00000007b9f0b000,2,1.003
0x000071a95c036000,0x00000003d97f3000,12,1.008
0x000071a95c037000,0x0000000c4c970000,13,0.996
0x000071a95c038000,0x0000000c4c971000,7,0.995
0x000071a95c039000,0x0000000c4c972000,11,1.001
0x000071a95c03a000,0x0000000c4c973000,7,0.997
0x000071a95c03b000,0x0000000c253fc000,9,1.000
0x000071a95c03c000,0x0000000c253fd000,1,0.998
0x000071a95c03d000,0x0000000c253ff000,14,1.021
0x000071a95c03e000,0x0000000c253fe000,13,0.995
0x000071a95c03f000,0x00000008d0c70000,3,0.988
0x000071a95c040000,0x00000008d0c71000,7,0.963
0x000071a95c041000,0x00000008d0c72000,3,0.989
0x000071a95c042000,0x00000008d0c73000,2,1.003
0x000071a95c043000,0x0000000b07230000,13,0.993
0x000071a95c044000,0x0000000b07231000,1,0.991
0x000071a95c045000,0x0000000b07232000,5,1.002
0x000071a95c046000,0x0000000b07233000,2,1.002
0x000071a95c047000,0x0000000a88d00000,13,0.992
0x000071a95c048000,0x0000000a88d01000,7,0.996
0x000071a95c049000,0x0000000b66a8a000,12,0.999
0x000071a95c04a000,0x0000000b66a8b000,14,1.000
0x000071a95c04b000,0x0000000a24980000,7,0.999
0x000071a95c04c000,0x0000000a24981000,0,1.005
0x000071a95c04d000,0x0000000a24982000,12,0.988
0x000071a95c04e000,0x0000000a24983000,1,0.997
0x000071a95c04f000,0x00000008818dc000,5,0.998
0x000071a95c050000,0x00000008818dd000,1,0.990
0x000071a95c051000,0x00000008818de000,1,0.991
0x000071a95c052000,0x00000008818df000,1,0.993
0x000071a95c053000,0x0000000b2ec0c000,5,1.021
0x000071a95c054000,0x0000000b2ec0d000,7,0.997
0x000071a95c055000,0x0000000b2ec0e000,0,0.997
0x000071a95c056000,0x0000000b2ec0f000,3,1.000
0x000071a95c057000,0x0000000420ab0000,0,1.013
0x000071a95c058000,0x0000000420ab1000,2,1.001
0x000071a95c059000,0x0000000420ab2000,0,0.996
0x000071a95c05a000,0x0000000420ab3000,7,1.003
0x000071a95c05b000,0x0000000c3ea98000,12,0.989
0x000071a95c05c000,0x0000000c3ea99000,7,0.984
0x000071a95c05d000,0x0000000c3ea9a000,9,1.008
0x000071a95c05e000,0x0000000c3ea9b000,2,1.000
0x000071a95c05f000,0x0000000c3ebcc000,5,1.007
0x000071a95c060000,0x0000000c3ebcd000,5,1.003
0x000071a95c061000,0x0000000c3ebce000,1,0.990
0x000071a95c062000,0x0000000c3ebcf000,14,0.998
0x000071a95c063000,0x0000000c4d704000,3,0.995
0x000071a95c064000,0x0000000c4d705000,14,0.997
0x000071a95c065000,0x0000000c4d706000,12,1.006
0x000071a95c066000,0x0000000c4d707000,0,0.999
0x000071a95c067000,0x0000000b1fc60000,10,1.000
0x000071a95c068000,0x0000000b1fc61000,2,0.999
0x000071a95c069000,0x0000000b1fc62000,12,0.992
0x000071a95c06a000,0x0000000b1fc63000,14,0.997
0x000071a95c06b000,0x000000093c748000,5,1.003
0x000071a95c06c000,0x000000093c749000,8,0.999
0x000071a95c06d000,0x000000093c74a000,12,1.004
0x000071a95c06e000,0x000000093c74b000,2,0.998
0x000071a95c06f000,0x000000066ef5c000,3,1.003
0x000071a95c070000,0x000000066ef5d000,2,0.994
0x000071a95c071000,0x000000066ef5e000,12,0.989
0x000071a95c072000,0x000000066ef5f000,2,0.978
0x000071a95c073000,0x0000000a9843c000,13,0.996
0x000071a95c074000,0x0000000a9843d000,11,0.986
0x000071a95c075000,0x0000000a9843e000,10,1.001
0x000071a95c076000,0x0000000a9843f000,7,0.991
0x000071a95c077000,0x0000000aea9fc000,0,1.011
