va,pa,imc_bdf,imc_vendor,imc_device,rir_entry,rir_raw,ways,way_sel,channel_bin
0x0000781c59000000,0x0000000c55deb000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59001000,0x000000072882e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59002000,0x000000076c65c000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59003000,0x0000000c4eccf000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59004000,0x0000000a8c6cc000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59005000,0x0000000911389000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59006000,0x00000008c0aa3000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59007000,0x00000004615ba000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59008000,0x0000000ae93fa000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59009000,0x0000000b02ac1000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5900a000,0x00000008acc82000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5900b000,0x0000000412f7c000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5900c000,0x0000000c33094000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5900d000,0x0000000452cb4000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5900e000,0x000000093cff5000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5900f000,0x00000008e1c75000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59010000,0x0000000872fe1000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59011000,0x00000003bab95000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59012000,0x00000006464a2000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59013000,0x0000000567c78000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59014000,0x0000000426e46000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59015000,0x00000004b5deb000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59016000,0x000000089d504000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59017000,0x00000006d2988000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59018000,0x0000000b2fa42000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59019000,0x000000064d59e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5901a000,0x0000000bb3fd6000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5901b000,0x0000000b07c28000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5901c000,0x00000007a269e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5901d000,0x00000007b26e3000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5901e000,0x0000000ac9da6000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5901f000,0x00000005f6c94000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59020000,0x0000000b9f308000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59021000,0x0000000985e58000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59022000,0x000000049deb0000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59023000,0x0000000a25be3000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59024000,0x00000009f289e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59025000,0x00000009a8e00000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59026000,0x0000000c6b7ae000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59027000,0x00000006283f9000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59028000,0x0000000771294000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59029000,0x00000005a07e3000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5902a000,0x00000004352a1000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5902b000,0x0000000c9741e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5902c000,0x0000000c21e02000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5902d000,0x0000000c61507000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5902e000,0x0000000c4bed1000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5902f000,0x00000009e77b3000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59030000,0x00000007501c7000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59031000,0x0000000c5f711000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59032000,0x0000000c3f807000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59033000,0x00000006a5a21000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59034000,0x0000000c900eb000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59035000,0x0000000c5b51e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59036000,0x0000000c8eb7b000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59037000,0x0000000c568e0000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59038000,0x0000000c56965000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59039000,0x0000000bcc535000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5903a000,0x0000000c98edc000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5903b000,0x0000000c4bc48000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5903c000,0x00000009be5d4000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5903d000,0x0000000cb7c5b000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5903e000,0x00000006e7fa1000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5903f000,0x0000000785015000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59040000,0x0000000b3c93e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59041000,0x000000043a36e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59042000,0x000000076aaa9000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59043000,0x000000068a97e000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59044000,0x0000000963ce8000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59045000,0x000000041c6ce000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59046000,0x00000003f73d5000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59047000,0x0000000c6dea4000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59048000,0x0000000390e61000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59049000,0x00000007223f3000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5904a000,0x0000000bbb9e7000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5904b000,0x0000000742ab0000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5904c000,0x0000000b78980000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5904d000,0x0000000b233ef000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5904e000,0x000000084d0cf000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c5904f000,0x00000007b190b000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
0x0000781c59050000,0x00000009e1918000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,512
