va,pa,s,imc,ch,d,r,bg,ba,row,col
0x00007d762f630000,0x0000000204580000,0,0,0,0,0,2,2,4244,0
0x00007d762f630080,0x0000000204580080,0,0,0,0,0,2,2,4244,8
0x00007d762f630400,0x0000000204580400,0,0,0,0,0,2,2,4244,16
0x00007d762f630480,0x0000000204580480,0,0,0,0,0,2,2,4244,24
0x00007d762f630800,0x0000000204580800,0,0,0,0,0,2,2,4244,32
0x00007d762f630880,0x0000000204580880,0,0,0,0,0,2,2,4244,40
0x00007d762f630c00,0x0000000204580c00,0,0,0,0,0,2,2,4244,48
0x00007d762f630c80,0x0000000204580c80,0,0,0,0,0,2,2,4244,56
0x00007d762f908000,0x0000000204581000,0,0,0,0,0,2,2,4244,64
0x00007d762f908080,0x0000000204581080,0,0,0,0,0,2,2,4244,72
0x00007d762f908400,0x0000000204581400,0,0,0,0,0,2,2,4244,80
0x00007d762f908480,0x0000000204581480,0,0,0,0,0,2,2,4244,88
0x00007d762f908800,0x0000000204581800,0,0,0,0,0,2,2,4244,96
0x00007d762f908880,0x0000000204581880,0,0,0,0,0,2,2,4244,104
0x00007d762f908c00,0x0000000204581c00,0,0,0,0,0,2,2,4244,112
0x00007d762f908c80,0x0000000204581c80,0,0,0,0,0,2,2,4244,120
0x00007d762f634000,0x0000000204582000,0,0,0,0,0,2,2,4244,128
0x00007d762f634080,0x0000000204582080,0,0,0,0,0,2,2,4244,136
0x00007d762f634400,0x0000000204582400,0,0,0,0,0,2,2,4244,144
0x00007d762f634480,0x0000000204582480,0,0,0,0,0,2,2,4244,152
0x00007d762f634800,0x0000000204582800,0,0,0,0,0,2,2,4244,160
0x00007d762f634880,0x0000000204582880,0,0,0,0,0,2,2,4244,168
0x00007d762f634c00,0x0000000204582c00,0,0,0,0,0,2,2,4244,176
0x00007d762f634c80,0x0000000204582c80,0,0,0,0,0,2,2,4244,184
0x00007d762f675000,0x0000000204583000,0,0,0,0,0,2,2,4244,192
0x00007d762f675080,0x0000000204583080,0,0,0,0,0,2,2,4244,200
0x00007d762f675400,0x0000000204583400,0,0,0,0,0,2,2,4244,208
0x00007d762f675480,0x0000000204583480,0,0,0,0,0,2,2,4244,216
0x00007d762f675800,0x0000000204583800,0,0,0,0,0,2,2,4244,224
0x00007d762f675880,0x0000000204583880,0,0,0,0,0,2,2,4244,232
0x00007d762f675c00,0x0000000204583c00,0,0,0,0,0,2,2,4244,240
0x00007d762f675c80,0x0000000204583c80,0,0,0,0,0,2,2,4244,248
0x00007d762f8b3000,0x0000000204585000,0,0,0,0,0,2,2,4244,320
0x00007d762f8b3080,0x0000000204585080,0,0,0,0,0,2,2,4244,328
0x00007d762f8b3400,0x0000000204585400,0,0,0,0,0,2,2,4244,336
0x00007d762f8b3480,0x0000000204585480,0,0,0,0,0,2,2,4244,344
0x00007d762f8b3800,0x0000000204585800,0,0,0,0,0,2,2,4244,352
0x00007d762f8b3880,0x0000000204585880,0,0,0,0,0,2,2,4244,360
0x00007d762f8b3c00,0x0000000204585c00,0,0,0,0,0,2,2,4244,368
0x00007d762f8b3c80,0x0000000204585c80,0,0,0,0,0,2,2,4244,376
