va,pa,imc_bdf,imc_vendor,imc_device,rir_entry,rir_raw,ways,way_sel,channel_guess,notes
0x0070c5a8200000,0x00000cc75fc000,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8200040,0x00000cc75fc040,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200080,0x00000cc75fc080,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82000c0,0x00000cc75fc0c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200100,0x00000cc75fc100,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8200140,0x00000cc75fc140,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200180,0x00000cc75fc180,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82001c0,0x00000cc75fc1c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200200,0x00000cc75fc200,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8200240,0x00000cc75fc240,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200280,0x00000cc75fc280,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82002c0,0x00000cc75fc2c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200300,0x00000cc75fc300,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8200340,0x00000cc75fc340,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200380,0x00000cc75fc380,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82003c0,0x00000cc75fc3c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200400,0x00000cc75fc400,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8200440,0x00000cc75fc440,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200480,0x00000cc75fc480,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82004c0,0x00000cc75fc4c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200500,0x00000cc75fc500,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8200540,0x00000cc75fc540,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200580,0x00000cc75fc580,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82005c0,0x00000cc75fc5c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200600,0x00000cc75fc600,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8200640,0x00000cc75fc640,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200680,0x00000cc75fc680,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82006c0,0x00000cc75fc6c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8200700,0x00000cc75fc700,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
